2023-10-06 11:29:26 INFO  Log:18 - dd
2023-10-06 11:33:29 INFO  Log:79 - Vai trò: Trưởng phòng |  Người dùng: NV001
2023-10-06 11:33:29 INFO  Log:80 - Vai trò: Nhân viên |  Người dùng: NV001
2023-10-06 11:35:28 INFO  Log:74 - Vai trò: Trưởng phòng |  Người dùng: NV001
2023-10-06 11:35:32 ERROR Log:181 - java.io.IOException: Failed to open file:/E:/DuAnMau/src/helper/.html. Error message: The system cannot find the file specified.

2023-10-06 12:37:13 INFO  Log:74 - Vai trò: Trưởng phòng |  Người dùng: NV001
2023-10-06 12:38:47 INFO  Log:74 - Vai trò: Trưởng phòng |  Người dùng: NV001
2023-10-06 12:43:14 INFO  Log:74 - Vai trò: Trưởng phòng |  Người dùng: NV001
2023-10-06 13:33:50 INFO  Log:74 - Vai trò: Trưởng phòng |  Người dùng: NV001
2023-10-06 13:34:20 INFO  Log:540 - Thêm Chuyên Đề Thành Công!
2023-10-06 13:45:51 INFO  Log:74 - Vai trò: Trưởng phòng |  Người dùng: NV001
2023-10-09 11:54:47 INFO  Log:74 - Vai trò: Trưởng phòng |  Người dùng: NV001
2023-10-09 11:56:58 INFO  Log:74 - Vai trò: Trưởng phòng |  Người dùng: NV001
2023-10-09 11:58:13 INFO  Log:74 - Vai trò: Trưởng phòng |  Người dùng: NV001
2023-10-09 11:58:36 INFO  Log:77 - Vai trò: Nhân viên |  Người dùng: NV002
2023-10-09 12:00:52 INFO  Log:74 - Vai trò: Trưởng phòng |  Người dùng: NV001
2023-10-09 12:01:25 INFO  Log:77 - Vai trò: Nhân viên |  Người dùng: NV002
2023-10-09 12:04:59 INFO  Log:74 - Vai trò: Trưởng phòng |  Người dùng: NV001
2023-10-09 12:06:26 INFO  Log:74 - Vai trò: Trưởng phòng |  Người dùng: NV001
2023-10-09 19:34:10 INFO  Log:74 - Vai trò: Trưởng phòng |  Người dùng: NV001
2023-10-10 09:36:55 INFO  Log:74 - Vai trò: Trưởng phòng |  Người dùng: NV001
2023-10-10 09:58:22 INFO  Log:74 - Vai trò: Trưởng phòng |  Người dùng: NV001
2023-10-10 09:59:10 INFO  Log:74 - Vai trò: Trưởng phòng |  Người dùng: NV001
2023-10-10 14:40:33 INFO  Log:77 - Vai trò: Nhân viên |  Người dùng: NV002
2023-10-10 14:40:57 INFO  Log:74 - Vai trò: Trưởng phòng |  Người dùng: NV001
2023-10-10 14:41:20 INFO  Log:74 - Vai trò: Trưởng phòng |  Người dùng: NV001
2023-10-10 14:41:34 INFO  Log:74 - Vai trò: Trưởng phòng |  Người dùng: NV001
2023-10-10 14:41:48 INFO  Log:77 - Vai trò: Nhân viên |  Người dùng: NV002
2023-10-11 11:04:39 INFO  Log:74 - Vai trò: Trưởng phòng |  Người dùng: NV001
2023-10-11 12:26:31 INFO  Log:74 - Vai trò: Trưởng phòng |  Người dùng: NV001
2023-10-11 12:26:40 INFO  Log:74 - Vai trò: Trưởng phòng |  Người dùng: NV001
2023-10-11 12:35:31 INFO  Log:74 - Vai trò: Trưởng phòng |  Người dùng: NV001
2023-10-11 12:38:28 INFO  Log:74 - Vai trò: Trưởng phòng |  Người dùng: NV001
2023-10-11 15:11:07 INFO  Log:74 - Vai trò: Trưởng phòng |  Người dùng: NV001
2023-10-11 17:36:47 INFO  Log:74 - Vai trò: Trưởng phòng |  Người dùng: NV001
2023-10-11 17:37:52 INFO  Log:74 - Vai trò: Trưởng phòng |  Người dùng: NV001
2023-10-11 17:38:13 INFO  Log:602 - Vai trò: Trưởng phòng |  Người dùng: NV001Đã Thêm thành công
2023-10-11 17:40:40 INFO  Log:74 - Vai trò: Trưởng phòng |  Người dùng: NV001
2023-10-11 17:42:02 INFO  Log:74 - Vai trò: Trưởng phòng |  Người dùng: NV001
2023-10-11 17:43:13 INFO  Log:74 - Vai trò: Trưởng phòng |  Người dùng: NV001 Đã đăng nhập
2023-10-11 17:45:29 INFO  Log:74 - Vai trò: Trưởng phòng |  Người dùng: NV001 Đã đăng nhập
2023-10-11 17:48:13 INFO  Log:18 - ddd
